date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:54:14	12532/12532	---M--	200	added ('OK')	image/webp	date:Tue,%2011%20May%202021%2017:52:34%20GMT	http://103.53.42.56/images/products/goliath-cranes.webp	C:/Users/nmang/OneDrive/Documents/mangla.in2/103.53.42.56/images/products/goliath-cranes.webp	(from http://103.53.42.56/)
18:54:14	6724/6724	---M--	200	added ('OK')	image/webp	date:Tue,%2011%20May%202021%2017:52:24%20GMT	http://103.53.42.56/images/products/chain-electric-hoists.webp	C:/Users/nmang/OneDrive/Documents/mangla.in2/103.53.42.56/images/products/chain-electric-hoists.webp	(from http://103.53.42.56/)
18:54:14	5234/5234	---M--	200	added ('OK')	image/webp	date:Tue,%2011%20May%202021%2017:52:24%20GMT	http://103.53.42.56/images/products/chain-pulley-blocks.webp	C:/Users/nmang/OneDrive/Documents/mangla.in2/103.53.42.56/images/products/chain-pulley-blocks.webp	(from http://103.53.42.56/)
18:54:16	7302/7302	---M--	200	added ('OK')	image/webp	date:Tue,%2011%20May%202021%2017:52:46%20GMT	http://103.53.42.56/images/products/wire-rope-electric-hoists.webp	C:/Users/nmang/OneDrive/Documents/mangla.in2/103.53.42.56/images/products/wire-rope-electric-hoists.webp	(from http://103.53.42.56/)
18:54:16	16321/16321	---M--	200	added ('OK')	image/png	date:Thu,%2013%20May%202021%2018:16:16%20GMT	http://103.53.42.56/images/1st.png	C:/Users/nmang/OneDrive/Documents/mangla.in2/103.53.42.56/images/1st.png	(from http://103.53.42.56/)
18:54:17	21619/21619	---M--	200	added ('OK')	image/png	date:Thu,%2013%20May%202021%2018:16:24%20GMT	http://103.53.42.56/images/2nd.png	C:/Users/nmang/OneDrive/Documents/mangla.in2/103.53.42.56/images/2nd.png	(from http://103.53.42.56/)
18:54:18	415/415	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2013%20May%202021%2018:16:14%20GMT	http://103.53.42.56/images/1.svg	C:/Users/nmang/OneDrive/Documents/mangla.in2/103.53.42.56/images/1.svg	(from http://103.53.42.56/)
18:54:18	735/735	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2013%20May%202021%2018:16:10%20GMT	http://103.53.42.56/images/2.svg	C:/Users/nmang/OneDrive/Documents/mangla.in2/103.53.42.56/images/2.svg	(from http://103.53.42.56/)
18:54:19	23087/23087	---M--	200	added ('OK')	image/png	date:Thu,%2013%20May%202021%2018:16:32%20GMT	http://103.53.42.56/images/3rd.png	C:/Users/nmang/OneDrive/Documents/mangla.in2/103.53.42.56/images/3rd.png	(from http://103.53.42.56/)
18:54:19	994/994	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2013%20May%202021%2018:16:16%20GMT	http://103.53.42.56/images/3.svg	C:/Users/nmang/OneDrive/Documents/mangla.in2/103.53.42.56/images/3.svg	(from http://103.53.42.56/)
18:54:19	13198/13198	---M--	200	added ('OK')	image/webp	date:Tue,%2011%20May%202021%2017:51:58%20GMT	http://103.53.42.56/images/mangla-hoist-center-image.webp	C:/Users/nmang/OneDrive/Documents/mangla.in2/103.53.42.56/images/mangla-hoist-center-image.webp	(from http://103.53.42.56/)
18:54:19	487/487	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2013%20May%202021%2018:16:08%20GMT	http://103.53.42.56/images/4.svg	C:/Users/nmang/OneDrive/Documents/mangla.in2/103.53.42.56/images/4.svg	(from http://103.53.42.56/)
18:54:20	2000/2000	---M--	200	added ('OK')	image/webp	date:Tue,%2011%20May%202021%2017:52:14%20GMT	http://103.53.42.56/images/client/ntpc.webp	C:/Users/nmang/OneDrive/Documents/mangla.in2/103.53.42.56/images/client/ntpc.webp	(from http://103.53.42.56/)
18:54:20	1758/1758	---M--	200	added ('OK')	image/webp	date:Tue,%2011%20May%202021%2017:52:12%20GMT	http://103.53.42.56/images/client/bhel.webp	C:/Users/nmang/OneDrive/Documents/mangla.in2/103.53.42.56/images/client/bhel.webp	(from http://103.53.42.56/)
